compType,compName,codeType,nciDomainValue,compLabel,Comment
dimension,ittfl,DATA,,Intent-To-Treat Population Flag,
dimension,sex,DATA,,Sex,
dimension,agegr1,DATA,,Pooled Age Group 1,
dimension,ethnic,DATA,,Ethnicity,
dimension,durdsgr1,DATA,,Pooled Disease Duration Group 1,
dimension,bmiblgr1,DATA,,Pooled Baseline BMI Group 1,
dimension,trt01p,DATA,,Planned Treatment for Period 01,
dimension,procedure,DATA,,Statistical Procedure,
dimension,factor,DATA,,"Type of procedure (quantity, proportion...)",
attribute,unit,,,Unit of measure,
attribute,denominator,,,Denominator for a proportion (oskr) subset on which a statistic is based,
measure,measure,,,Value of the statistical measure,
metadata,obsURL,,,https://github.com/phuse-org/phuse-scripts/raw/master/data/adam/cdisc/adsl.xpt,obsFileName
metadata,obsFileName,,,tab2x01.csv,obsFileName
metadata,dataCubeFileName,,,DC-TAB2X01,Cube name prefix (will be appended with version number by script. --> No. Will be set in code based on domainName parameter)
metadata,cubeVersion,,,0.0.0,Version of cube with format n.n.n
metadata,createdBy,,,Foo,Person who configures this spreadsheet and runs the creation script to create the cube
metadata,description,,,Data from tab2x01.sas program,Cube description
metadata,providedBy,,,PhUSE Results Metadata Working Group,
metadata,comment,,,,Table 14-2.01 - Summary of Demographic and Baseline Characteristics
metadata,title,,,Demographics Analysis Results,Table 14-2.01 - Summary of Demographic and Baseline Characteristics
metadata,label,,,Table 14-2.01 - Summary of Demographic and Baseline Characteristics,
metadata,wasDerivedFrom,,,tab2x01.csv,Data source (obsFileName). Set this programmtically based on name of input file!
metadata,domainName,,,TAB2X01,"The domain name, also part of the spreadsheet tab name"
metadata,obsFileNameDirec,,,!example,The directory containd the wasDerivedFrom file
metadata,dataCubeOutDirec,,,!temporary,
metadata,extension.rrdfqbcrnd0,,,TRUE,
